,supplier_name,address,lat,lng,country,region
37,Amkor Technology Inc.,"1 Ohmaki, Harue-Cho, Harue, Fukui, Japan",36.129042,136.228583,Japan,
38,Amkor Technology Inc.,"145-1, Aza-Nakajima, Nanae-cho, Kameda, Hokkaido, Japan",41.867454,140.7060994,Japan,Hokkaido
39,Amphenol Corp.,"No. 98-5 Road 19, Hangzhou Economic and Technological Development Zone, Hangzhou, Zhejiang, China",30.274084,120.15507,China,Zhejiang
40,Amphenol Corp.,"No. 689 Shennan Road, Xin Zhuang Industry Park, Shanghai, China",31.072971,121.380838,China,Shanghai Shi
41,Amphenol Corp.,"Block A3/A4, DongKeng Road, GongMing Town, Shenzhen, Guangdong, China",22.7546704,113.9170597,China,Guangdong Sheng
42,Amphenol Corp.,"825 Old Trail Road, Etters, Pennsylvania, USA",40.16033230000001,-76.818936,United States,Pennsylvania
43,ams AG,"B2-1D Carmelray Industrial Park II, Barangay Tulo, Calamba, Laguna, Philippines",14.1732678,121.1295505,Philippines,
44,ams AG,"Tobelbaderstrasse 30, Unterpremstaetten, Styria, Austria",46.9755645,15.3950842,Austria,Steiermark
45,ams AG,"26 Woodlands Loop, Level 1, Singapore",1.448434,103.811756,Singapore,
46,ams AG,"7000 Ang Mo Kio Avenue 5, Singapore",1.3776352,103.8727159,Singapore,
47,Analog Devices Inc.,"Gateway Business Park, Javalera, Gen. Trias, Cavite, Philippines",14.2607058,120.9196942,Philippines,Calabarzon
48,Apollo Global Management LLC,"190 Yishun Avenue, Singapore",1.440684,103.836587,Singapore,
49,Apollo Global Management LLC,"No. 3, Lintang Bayan Lepas 8, Kawasan Perindustrian Bayan Lepas, Fasa 4, Mukim 12, Bayan Lepas, Penang, Malaysia",5.2943257,100.2839756,Malaysia,Pulau Pinang
50,Artesyn Embedded Technologies Inc.,"No. 68 Baocheng E. Road, Fucheng Town, Luoding, YunFu, Guangdong, China",22.753063,111.5773883,China,Guangdong Sheng
51,Artesyn Embedded Technologies Inc.,"Main Avenue Corner Road J, PEZA Complex, Rosario, Cavite, Philippines",14.4167095,120.8539543,Philippines,
52,"Asahi Glass Co., Ltd.","SAHA Group Industrial Park Lamphun 99/39 Moo 5, T. Pasak, Muang Lamphun, Thailand",18.5744606,99.0087221,Thailand,Lamphun
53,"Asahi Glass Co., Ltd.","1-8 Machiikedai, Koriyama, Fukushima, Japan",37.441962,140.3078344,Japan,Fukushima-ken
54,"Asahi Glass Co., Ltd.","5-6-1 Umei, Takasago, Hyogo, Japan",34.7638314,134.7700025,Japan,Hyōgo-ken
55,"Asahi Glass Co., Ltd.","BE-2400 Mol, Brussels, Belgium",51.2213789,5.1962097,Belgium,Flanders
56,"Asahi Glass Co., Ltd.","11 Qisan Road, Haitian Industrial Garden, Shenzhen Export Processing District, Pingshan New Zone, Shenzhen, Guangdong, China",22.71123,114.355466,China,Guangdong Sheng
57,Asia Vital Components Ltd.,"No. 5 Lane 8, RongJiang Road, Songjiang Export Processing Zone, Shanghai, China",31.015831,121.293328,China,Shanghai Shi
58,Asia Vital Components Ltd.,"West Industry Park, XinYang Industrial Zone, Shajing Town, Bao’an District, Shenzhen, Guangdong, China",32.147679,114.091192,China,Henan
59,Asia Vital Components Ltd.,"Jin Xi Zhen Jin Road, No. 188 Building 9, Kunshan, Jiangsu, China",31.38559699999999,120.980736,China,Jiangsu
60,AT & S Austria Technologie & Systemtechnik AG,"No. 58 Chang He Road, Yuzui Town, Jiangbei District, Chongqing, China",29.6308303,106.7567022,China,Chongqing Shi
61,AT & S Austria Technologie & Systemtechnik AG,"No. 5000 Jindu Road, Shanghai, China",31.072129,121.367196,China,Shanghai Shi
62,Biel Crystal Manufactory Ltd.,"Biel Crystal Industrial Park, TangJing Village, Baishi, QiuChang Town, Huiyang District, Huizhou, Guangdong, China",22.956122,114.336261,China,Guangdong
63,"BOE Technology Group Co., Ltd.","No. 668 Longzihu Road, Heifei, Anhui, China",31.94519309999999,117.3396756,China,Anhui Sheng
64,"Boyd Die Cut Co., Ltd.","8 Xindu Road, Singapore-Industrial-Park, Wuxi, Jiangsu, China",31.533902,120.393162,China,Jiangsu
65,"Boyd Die Cut Co., Ltd.","No. 1 Building Runheng Industrial Park, 67 Zone of Baocheng, Liuxian 2nd Road, Bao’an District, Shenzhen, Guangdong, China",22.7553117,113.8568875,China,Guangdong Sheng
66,Brilliant International Group Ltd.,"Qiao Tou, 1 Industrial District, Lou Cun Community Council, Gong Ming Street, Guangming, Xinqu, Shenzhen, Guangdong, China",22.780439,113.925857,China,Guangdong
67,Brilliant International Group Ltd.,"Building 1, Linyuan Investment Park, Intersection of Yanhe Road and Shenzhou, Xinzheng City, Zhengzhou, Henan, China",34.3900735,113.7954891,China,Henan Sheng
68,Broadcom Limited,"4380 Ziegler Road, Ft. Collins, Colorado, USA",40.52650999999999,-105.017032,United States,Colorado
69,Broadcom Limited,"110 American Parkway NE, Allentown, Pennsylvania, USA",40.6072308,-75.462299,United States,Pennsylvania
70,Broadcom Limited,"Fab 12A, No. 18 Nan-Ke 2nd Road, Tainan Science Park, Tainan, Taiwan",22.9997281,120.2270277,Taiwan,Tainan City
71,"BYD Co., Ltd.","No. 1 BaoPing Road, Baolong Industrial Town, Long Gang, Shenzhen, Guangdong, China",22.687329,114.27364,China,Guangdong Sheng
72,"BYD Co., Ltd.","Xiangshui River, Economic Development Zone, Daya Bay, Huizhou, Guangdong, China",22.7202833,114.5363753,China,Guangdong Sheng
73,"Career Technology (Mfg.) Co., Ltd.","248 Bo’ai Street, Shulin District, Taipei, Taiwan",24.9850038,121.4233061,Taiwan,New Taipei City
74,"Career Technology (Mfg.) Co., Ltd.","No. 18 Jin Sha Jiang South Road, Kunshan, Jiangsu, China",31.3781033,120.9547683,China,Jiangsu Sheng
75,"Catcher Technology Co., Ltd.","No. 21 Gucheng Road, Suzhou-Suqian Industrial Park, Suqian, Jiangsu, China",33.938429,118.195733,China,Jiangsu Sheng
76,"Catcher Technology Co., Ltd.","XiangTai Road West Side, Lion River South Side, Economic Development Zone, Taizhou, Jiangsu, Guangdong, China",32.455536,119.922933,China,Jiangsu
77,"Catcher Technology Co., Ltd.","East of Xiangtai Road, North of Haijun West Road, Economic Development Zone, Taizhou, Jiangsu, China",32.423966,119.874858,China,Jiangsu Sheng
78,"Cathay Tat Ming Precision Metal Products Co., Ltd.","No. 5 Furong 3rd Road, Xishan Economic Development Zone, Wuxi, Jiangsu, China",31.6315215,120.3869808,China,Jiangsu Sheng
79,"Cathay Tat Ming Precision Metal Products Co., Ltd.","No. 2 Section A, Bai’gong’ao Industrial Zone, Xikeng Xinwei Sector, Fumin, Guanlan, Bao’an, Shenzhen, Guangdong, China",22.696848,114.045389,China,Guangdong
80,"Cathay Tat Ming Precision Metal Products Co., Ltd.","Yuyuan 4 Road, Yuyuan Industrial Zone, Huangjiang Town, Dongguan, Guangdong, China",22.888887,114.00751,China,Guangdong Sheng
81,Cheng Loong Corp.,"Dong Yie Street, Industry District, Houjie Town, Dongguan, Guangdong, China",22.935289,113.670324,China,Guangdong
82,Cheng Loong Corp.,"888 Fuyan Road, Weishi County, Kaifeng, Henan, China",34.411494,114.193081,China,Henan
83,Cheng Loong Corp.,"No. 48 Teng Feng 3rd Road, Chengdu, Sichuan, China",30.572815,104.066801,China,Sichuan
84,Cheng Loong Corp.,"No. 1 Tengfei 11 Road, Southwest Air Harbor Development Economic Zone, Chengdu, Sichuan, China",30.572815,104.066801,China,Sichuan
85,Cheng Loong Corp.,"399 Xiupu Road, Kangqiao Industrial Zone, Nanhai District, Shanghai, China",31.147678,121.54984,China,上海市
86,Cheng Loong Corp.,"No. 98 B Zone, Gui Lin Road, Kunshan, Jiangsu, China",31.3284814,120.9994027,China,Jiangsu Sheng
87,"Cheng Uei Precision Industry Co., Ltd. (Foxlink)","Industry Street, DongKeng, Dongguan, Guangdong, China",22.995838,113.933872,China,Guangdong
88,"Cheng Uei Precision Industry Co., Ltd. (Foxlink)","Junda Industry Disctict, DongKeng, Dongguan, Guangdong, China.",22.982097,113.943204,China,Guangdong Sheng
89,"Cheng Uei Precision Industry Co., Ltd. (Foxlink)","No. 6 Zhengwei Road, Jinxi Town, Kunshan, Jiangsu, China",31.171888,120.902582,China,
90,"Cheng Uei Precision Industry Co., Ltd. (Foxlink)","8th Long Keng Industry District, QianMei Road, DongKeng, Dongguan, Guangdong, China",22.98488,113.92141,China,Guangdong
91,"Cheng Uei Precision Industry Co., Ltd. (Foxlink)","No. 1 Xinfeng Street, Chang Long Village, Huang Jiang Town, Dongguan, Guangdong, China",23.010719,113.744072,China,Guangdong Sheng
92,"Chengdu Homin Technology Co., Ltd.","No. 265 Tengfei Avenue, Qingyang District, Chengdu, Sichuan, China",30.687368,103.955777,China,Sichuan Sheng
93,China Circuit Technology (Shantou) Corp.,"Wanji Industrial District, Longhu, Shantou, Guangdong, China",23.4307666,116.7126147,China,Guangdong Sheng
94,Coilcraft Inc.,"Bac Chu Lai Industrial Park, Chu Lai Open Economic Zone, Tam Hiep, Nui Thanh, Quang Nam, Vietnam",15.4469551,108.6086561,Vietnam,Quảng Nam
95,Coilcraft Inc.,"Putian Village, Xiyang Town, Meizhou, Guangdong, China",24.186035,116.623561,China,Guangdong
96,Coilcraft Inc.,"Jln Aster, Lot SD37-38, Lobam, Bintan, Indonesia",1.00736,104.2570841,Indonesia,Kepulauan Riau
97,Coilcraft Inc.,"No. 5 Guangtonnan Road, Dongfeng West Street, Weinan, Shanxi, China",35.142309,111.2193278,China,Shanxi Sheng
98,Compal Electronics Inc.,"No. 68-2 Suyuan Road, Nanjing Export Processing Zone (South Area), Nanjing, Jiangsu, China",31.886462,118.810353,China,Jiangsu Sheng
99,Compal Electronics Inc.,"No. D05, Zone D, Air Port Section of LiangLu CunTan Free Trade port Area, YuBei District, Chongqing, China",29.622586,106.59283,China,Chongqing Shi
100,"Compeq Manufacturing Co., Ltd.","4D Block, Suchun Industrial Square, No. 428 Xinglong Street, Suzhou Industrial Park, Suzhou, Jiangsu, China",31.330027,120.804204,China,Jiangsu Sheng
101,"Compeq Manufacturing Co., Ltd.","No. 21 Panlong Road, Lidu Industrial Park, Fuling district, Chongqing, China",29.725303,107.2363433,China,Chongqing Shi
102,"Compeq Manufacturing Co., Ltd.","No. 168 Huguang Road, Huzhen Town, Boluo County, Huizhou, Guangdong, China",23.17277,114.289528,China,Guangdong
103,"Compeq Manufacturing Co., Ltd.","No. 91 Lane 814, Ta Hsin Road, Shin Chuang Village, Lu Chu Hsiang, Taoyuan, Taiwan",24.9936281,121.3009798,Taiwan,Taoyuan City
104,Corning Inc.,"680 E. Office Street, Harrodsburg, Kentucky, USA",37.7576524,-84.829747,United States,Kentucky
105,Corning Inc.,"12117 Obuchi, Kakegawa, Shizuoka, Japan",34.6795471,137.9971585,Japan,Shizuoka Prefecture
106,Corning Inc.,"No. 33 Section 2, HaunDong Road, Tainan Science Based Industrial Park, Tainan, Taiwan",23.2774442,120.3124185,Taiwan,Tainan City
107,Corning Inc.,"212, Tangjeong-ro, Tangjeong-myeon, Asan, Chungcheongnam-do, Korea",36.813074,127.0571048,South Korea,Chungcheongnam-do
108,Cosmosupplylab Ltd.,"Middle ZhongXin Road, Xian Sha Industry, Gaobu Town, Dongguan, Guangdong, China",23.100946,113.752783,China,Guangdong
109,Cosmosupplylab Ltd.,"Bo Wang Industrial Park, Gaobu Town, Dongguan, Guangdong, China",23.090823,113.74595,China,Guangdong
110,Cowell E Holdings Inc.,"No. 1 Songbo Road, Huanan Industrial Area, Liaobu Town, Dongguan, Guangdong, China",23.027162,113.863942,China,Guangdong Sheng
111,"Coxon Precise Industrial Co., Ltd.","West No. 3 Zhong Nan South Road, Hai Bin District, Shang Sha Village Chang’an Town, Dongguan, Guangdong, China",23.065154,113.960463,China,Guangdong
112,"Coxon Precise Industrial Co., Ltd.","763 ZhenAnZhong Road, 6th Industrial District, ShangSha Villlage, Chang’an Town, Dongguan, Guangdong, China",23.065154,113.960463,China,Guangdong
113,"CymMetrik Enterprise Co., Ltd.","No. 168 Chuyang Road, Lujia Town, East part of Economic and Technical Development Zone, Kunshan, Jiangsu, China",31.38559699999999,120.980736,China,Jiangsu
114,"CymMetrik Enterprise Co., Ltd.","Xinhua Road, Xingwei Community, Fuyong Street, Bao’an, Shenzhen, Guangdong, China",22.634017,113.833622,China,Guangdong
115,"CymMetrik Enterprise Co., Ltd.","8th Factory, Industrial Park of Weishi County, Kaifeng, Henan, China",34.411494,114.193081,China,Henan
116,"Dai-Ichi Seiko Co., Ltd.","12 Hokuryo-cho, Matsue, Shimane, Japan",35.4982146,133.0611395,Japan,Shimane Prefecture
117,"Dai-Ichi Seiko Co., Ltd.","2455-1 Takata, Chikuzen-machi, Asakura-gun, Fukuoka, Japan",33.413352,130.621496,Japan,Fukuoka Prefecture
118,"Dai-Ichi Seiko Co., Ltd.","55 Yishun Industrial Park A, Singapore",1.441272,103.834627,Singapore,
119,"Dai-Ichi Seiko Co., Ltd.","863 Mitsusawa, Ogori, Fukuoka, Japan",33.42781,130.5639749,Japan,Fukuoka Prefecture
120,"Dai-Ichi Seiko Co., Ltd.","Block 2 Woodlands Sector 1, No. 01-24 Woodlands Spectrum 1, Singapore",1.4539602,103.8066904,Singapore,
121,Daikin Industries Ltd.,"1-1 Nishi-Hitotsuya, Settsu, Osaka, Japan",34.7612364,135.5675943,Japan,Osaka Prefecture
122,Daikin Industries Ltd.,"No. 8 Jinyu Road (West) Advanced Materials Industrial, Changshu, Jiangsu, China",31.7779373,120.8186559,China,Jiangsu Sheng
123,Daikin Industries Ltd.,"21 Sunayama, Kamisu, Ibaraki, Japan",35.8600465,140.7222581,Japan,Ibaraki Prefecture
124,Darfon Electronics Corp.,"21 Industry 2nd Road, Tainan, Taiwan",22.9997281,120.2270277,Taiwan,Tainan City
125,Darfon Electronics Corp.,"No. 99 Zhuyuan Road, New District, Suzhou, Jiangsu, China",31.280939,120.554548,China,Jiangsu Sheng
126,Delta Group,"No. 168 Jishi East Road & No. 688 Xiuhu West Road, Wujiang Economic & Technological Development Zone, Suzhou, Jiangsu, China",31.156145,120.664214,China,Jiangsu Sheng
127,Delta Group,"No. 688 Xiuhu West Road, Song Ling Town, Suzhou, Jiangsu, China",31.156145,120.664214,China,Jiangsu Sheng
128,Delta Group,"Chen Zhou Export Processing Zone, Bai Lu Tang Town, Su Xian District, Chenzhou, Hunan, China",25.37201,112.940701,China,Hunan
129,Delta Group,"Wellgrow Industrial Estate, 111 Moo 9, Soi 11, Bangna-Trad Road, Tambol Bangwua, Bang Pakong, Chachoengsao, Thailand",13.5709085,100.9222622,Thailand,Chachoengsao
130,Delta Group,"1688 Jiangxing East Road, Wujiang Economy Development Zone, Wujiang, Jiangsu, China",31.1797902,120.6755052,China,Jiangsu Sheng
131,Dexerials Corp.,"Ha-86 Akai-machi, Nomi, Ishikawa, Japan",36.4469409,136.5542417,Japan,Ishikawa Prefecture
132,Dexerials Corp.,"18 Satuki-cho, Kanuma-shi, Tochigi, Japan",36.548783,139.76597,Japan,Tochigi Prefecture
133,Dexerials Corp.,"3-4-1 Sakuragi, Tagajo-shi, Miyagi, Japan",38.2883985,141.0133158,Japan,Miyagi-ken
134,Dexerials Corp.,"1724 Shimotsuboyama, Shimotsuke-shi, Tochigi, Japan",36.3694011,139.8760571,Japan,Tochigi Prefecture
135,Diodes Inc.,"Waldweg 7, Neuhaus am Rennweg, Thuringia, Germany",50.5052086,11.1327341,Germany,Thüringen
136,Diodes Inc.,"Zetex Technology Park, Chadderton, Oldham, United Kingdom",53.5422561,-2.1393249,United Kingdom,
137,Diodes Inc.,"Plant No. 1, Lane 18, San Zhuang Road, Songjiang Export Zone, Shanghai, China",31.014966,121.293314,China,Shanghai Shi
138,Diodes Inc.,"No. 8 Kexin Road, Chengdu Hi-Tech Zone (West Park), Chengdu, Sichuan, China",30.763953,103.924997,China,Sichuan Sheng
139,Diodes Inc.,"777 N.W. Blue Parkway, Suite 350, Lee’s Summit, Missouri, USA",38.9316568,-94.39767429999999,United States,Missouri
140,Diodes Inc.,"No. 999 Chenchun Road, Xinqiao Town, Songjiang District, Shanghai, China",31.072108,121.3346528,China,Shanghai Shi
141,"DSM Engineering Plastics Co., Ltd.","Urmonderbaan 22, Geleen, Netherlands",50.9882984,5.7849683,Netherlands,Limburg
142,"DSM Engineering Plastics Co., Ltd.","Eerste Bokslootweg 17, Emmen, Netherlands",52.7748058,6.906880399999999,Netherlands,Drenthe
143,"DSM Engineering Plastics Co., Ltd.","No. 18 Pan Long Shan Road, Jiangyin, Jiangsu, China",31.909033,120.036748,China,
144,Dynapack International Technology Corp.,"No. 8 Hua-Gang Road, Wujiang Economic and Technological Development Zone, Suzhou, Jiangsu, China",31.17991199999999,120.675472,China,Jiangsu Sheng
145,Ellington Electronics Technology Group,"88 Gao Ping Chemical & Industrial Zone, San Jiao Town, Zhongshan, Guangdong, China",22.676245,113.418215,China,Guangdong
146,FIT Hon Teng Ltd.,"37 Street, Dinh Tram Industry Zone, Viet Yen, Bac Giang, Vietnam",21.25474,106.126945,Vietnam,Bắc Giang
147,FIT Hon Teng Ltd.,"No. 168 Fushikang Road, Huai’an Economic Development Zone, Huai’an, Jiangsu, China",33.590405,119.108162,China,Jiangsu
148,FIT Hon Teng Ltd.,"No. 889 Fushikang Road, High Technology Industry Park, Kunshan Development Zone, Kunshan, Jiangsu, China",31.4173916,120.9600197,China,Jiangsu Sheng
149,FIT Hon Teng Ltd.,"Baoyuan Technology Area, DaShuiKeng, GuanLan Town, Longhua New Distict, Shenzhen, Guangdong, China",22.59197,114.287139,China,Guangdong
150,Flexium Interconnect Inc.,"No. 23 Juguang 1st Sreet, Tafa Industrial Park, Daliao District, Kaohsiung, Taiwan",22.5804829,120.4238478,Taiwan,Kaohsiung City
151,Flexium Interconnect Inc.,"No. 1399, Hanpu Road, Hi-Tech Industrial Park, Kunshan, Jiangsu, China",31.419932,120.969361,China,Jiangsu Sheng
152,Flextronics Sales and Marketing (A-P) Ltd.,"12455 Research Blvd., Austin, Texas, USA",30.4316953,-97.7550117,United States,Texas
153,Flextronics Sales and Marketing (A-P) Ltd.,"6380 East Holmes Road, Memphis, Tennessee, USA",35.007134,-89.850793,United States,Tennessee
154,Flextronics Sales and Marketing (A-P) Ltd.,"Avenida Liberdade, 6315, Iporanga-Sorocaba, Sao Paulo, Brazil",-23.4280603,-47.3684334,Brazil,São Paulo
155,Flextronics Sales and Marketing (A-P) Ltd.,"Plot No. 3 Phase III, SIPCOT Industrial Park, Sandavellur (Village), Sriperumbuthur, Kanchipuram, Tamilnadu, India",12.9163683,79.87888029999999,India,Tamil Nadu
156,Flextronics Sales and Marketing (A-P) Ltd.,"Flextronics Industrial Zone, Shi Da Road, Da Ling Shan, Dongguan, Guangdong, China",22.9482536,113.8695462,China,Guangdong Sheng
157,"Foster Electric Co., Ltd.","No. 1 Street 11, VSIP Bac Ninh, Tu Son, Bac Ninh, Vietnam",21.0844898,105.9785518,Vietnam,Bắc Ninh
158,"Foster Electric Co., Ltd.","Street No. 1 Hoa Cam industrial zone, Cam Le district, Da Nang, Vietnam",16.0185641,108.1694719,Vietnam,
159,"Foster Electric Co., Ltd.","No. 20, VSIP II street 5, Vietnam Singapore Industrial Park II, Hoa Phu ward, Thu Dau Mot, Binh Duong, Vietnam",11.0774105,106.6799983,Vietnam,Bình Dương
160,"Foster Electric Co., Ltd.","Building #7, No. 1 Zongbu Road, Nanning New High Technology Industrial Zone, Nanning, Guangxi, China",22.861749,108.282013,China,Guangxi Zhuangzuzizhiqu
161,"Foster Electric Co., Ltd.","No. 8, 11 Ke Yuan Dong Road, Nanning New High Technology Industrial Zone, Nanning, Guangxi, China",22.817002,108.366543,China,Guangxi
162,Fujikura Ltd.,"101/2 Moo 20, Navanakorn Industrial Zone, Phaholyothin Road, Klongluang District, Khlong Luang, Pathum Thani, Thailand",14.115248,100.6030615,Thailand,Chang Wat Pathum Thani
163,Fujikura Ltd.,"Building 56A, No. 199 Riying North Road, Waigaoqiao Free Trade Zone, Shanghai, China",31.349964,121.588425,China,
164,Fujikura Ltd.,"1/80 Moo 5, Rojana Industrial Park, Rojana Road, Tambol Kanham, Amphur U-Thai Pranakorn Sri, Ayutthaya, Thailand",14.3168843,100.6368398,Thailand,Chang Wat Phra Nakhon Si Ayutthaya
165,Fujikura Ltd.,"612/12, Moo 9, Kabinburi Industrial Zone, Cam Le district, Da Nang, Vietnam",13.9050107,101.7979613,Thailand,Prachin Buri
166,Fujikura Ltd.,"Northern Region Industrial Estate, 68/1 Moo 4 Tambol, Lamphun, Thailand",18.58946,99.05320739999999,Thailand,
167,Fujikura Ltd.,"Build A-B, No. 1411 Yecheng Road, Jiading Industrial Zone, Shanghai, China",31.252689,121.372189,China,Shanghai
168,Fujikura Ltd.,"14 Matsuyama-cho, Moka, Tochigi, Japan",36.4304763,139.9654131,Japan,Tochigi Prefecture
169,Fujikura Ltd.,"55/25 Moo 13, Navanakorn Industrial Estate, Paholyothin Road, Klong Nueng, Khlong Luang, Pathum Thani, Thailand",14.115248,100.6030615,Thailand,Chang Wat Pathum Thani
170,Garuda International Ltd.,"Building A1-A3, Pengding Plant, Songluo Road, Yanchuan Community, Yanluo Street, Bao’an District, Shenzhen, Guangdong, China",22.7853914,113.8540066,China,Guangdong Sheng
171,Garuda International Ltd.,"No. 18 Tengfei Road, Economic and Technological Development Zone, Qinhuangdao, Hebei, China",39.931331,119.466157,China,Hebei Sheng
172,Garuda International Ltd.,"No. 11 Honghai North Road, Huaian Economic Development Zone, Huai’an, Jiangsu, China",33.6058127,119.1501516,China,Jiangsu Sheng
173,"Genius Electronic Optical Co., Ltd.","No. 8 Chuangxin Road, Torch Hi-tech Indsl Zone, Xiamen, Fujian, China",24.517057,118.126386,China,Fujian Sheng
174,GoerTek Inc.,"No. 268 Dongfang Road, High-Tech Industrial Development Zone, Weifang, Shandong, China",36.7253308,119.165349,China,Shandong Sheng
